Party,Votes,%,Seats,+/–
,Democratic Alliance,"2,945,829",16.66,67,+17
,Congress of the People,"1,311,027",7.42,30,New
,Inkatha Freedom Party,"804,260",4.55,18,−10
,Independent Democrats,"162,915",0.92,4,−3
,United Democratic Movement,"149,680",0.85,4,−5
,Freedom Front Plus,"146,796",0.83,4,0
,African Christian Democratic Party,"142,658",0.81,3,−4
,United Christian Democratic Party,"66,086",0.37,2,−1
,Pan Africanist Congress,"48,530",0.27,1,−2
,Minority Front,"43,474",0.25,1,−1
,Azanian People's Organisation,"38,245",0.22,1,0
,African People's Convention,"35,867",0.20,1,New
,Movement Democratic Party,"29,747",0.17,0,New
,Al Jama-ah,"25,947",0.15,0,New
,Christian Democratic Alliance,"11,638",0.07,0,0
,National Democratic Convention,"10,830",0.06,0,New
,New Vision Party,"9,296",0.05,0,New
,United Independent Front,"8,872",0.05,0,New
,Great Kongress of South Africa,"8,271",0.05,0,New
,South African Democratic Congress,"6,035",0.03,0,New
,Keep It Straight and Simple Party,"5,440",0.03,0,0
,Pan Africanist Movement,"5,426",0.03,0,New
,Alliance of Free Democrats,"5,178",0.03,0,New
,Women Forward,"5,087",0.03,0,New
,A Party,"2,847",0.02,0,New
